"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"B387YEF4","book","2023","Song, Jade","Chlorine","","978-0-06-325760-3","","","","""Ren Yu is a swimmer. Her daily life starts and ends with the pool. Her teammates are her only friends. Her coach, her guiding light. If she swims well enough, she will be scouted, get a scholarship, go to a good school. Her parents will love her. Her coach will be kind to her. She will have a good life. But these are human concerns. These are the concerns of those confined to land, those with legs. Ren grew up on stories of creatures of the deep, of the oceans and the rivers. Ones that called sailors to their doom. Ones that dragged them down and drowned them. Ones that feasted on their flesh. Ones of the creature that she's always longed to become: mermaid. Ren aches to be in the water. She dreams of the scent of chlorine, the feel of it on her skin. And she will do anything she can to make a life for herself where she can be free. No matter the pain. No matter what anyone else thinks. No matter how much blood she has to spill.""--Book jacket flap","2023","2025-04-21 01:39:20","2025-04-21 01:39:20","","","","","","","","","","","","","William Morrow, an imprint of HarperCollinsPublishers","New York, NY","eng","","","","","Open WorldCat","","OCLC: 1373629489","","","","","","","","","","","","","","","","","","","","","","","","","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNMWYBIA","book","2024","Yu, Youyou","Invisible kitties: a feline study of fluid mechanics or the spurious incidents of the cats in the night-time","","978-0-06-333622-3","","","","""In this whimsical and inventive debut-perfect for fans of The Guest Cat and Calvino's Invisible Cities-a young couple's daily life is disrupted by their newly adopted cat, who soon initiates them into the wondrous world of felines. Equal parts magical and humorous, Invisible Kitties tells the story of a young couple that one day accidentally comes into possession of a delightful, playful kitten. Bright eyed and bushy tailed, this new companion, aptly named Cat, upturns the routine of the narrator and her husband in their cramped apartment, and soon they find their existence forever altered as they gradually gain insight into the fantastical world of cats. Every cat contains multitudes... Charting the couple's ever-evolving relationship with cats -some they live with, others who exist solely in their imagination- Invisible Kitties introduces us to a coterie of extraordinary, physics-defying, death-defying cats. They drop from the sky, they grow from the soil, they transmute. They fly, flow, and evaporate. The young couple's everyday life, often eclipsed by the drama of cats, offers a gentle glimpse of how joy can suddenly sneak into our lives. Composed of sixty chapters written in Yu Yoyo's elegant and witty style and complemented by the author's own illustrations- Invisible Kitties is a celebration of ordinary life and the felines we love, deftly playing with the invisible boundaries between reality and imagination. Translated from the Chinese by Jeremy Tiang""-- Provided by publisher","2024","2025-04-21 01:39:21","2025-04-21 01:39:21","","","","","","","","Invisible kitties","","","","","HarperVia, an imprint of HarperCollinsPublishers","New York","eng","","","","","Open WorldCat","","OCLC: 1453505187","","","","","","","","Tiang, Jeremy","","","","","","","","","","","","","","","","","First HarperVia edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4P2R5RI4","book","2006","Wang, Wei; Hinton, David","The selected poems of Wang Wei","","978-0-8112-1618-0","","","","","2006","2025-04-21 01:39:22","2025-04-21 01:39:22","","","116","","","","","","","","","","New Directions Book","New York, NY","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATBBW9UI","book","2007","Segalen, Victor; Segalen, Victor","Stèles: = Gu jin bei lu","","978-0-8195-6832-8 978-0-8195-6833-5","","","","","2007","2025-04-21 01:39:24","2025-04-21 01:39:24","","","415","","","","","Stèles","Stèles / Victor Segalen","volume 1","","","Wesleyan University Press","Middletown, CT","eng chi fre","","","","","K10plus ISBN","","","","","","","","Billings, Timothy; Bush, Christopher","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKSHLVAN","book","2007","Zhang, Er; Holman, Bob","So translating rivers and cities: selected poems","","978-0-939010-93-6","","","","","2007","2025-04-21 01:39:25","2025-04-21 01:39:25","","","154","","","","","So translating rivers and cities","","","","","Zephyr Press","Brookline, Mass","eng chi","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","1. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLGHJWHD","book","2019","Yu Yoyo ; translated from Chinese by A.K. Blakemore and Dave Haysom = 我空出来的身体 / 余幼幼; 余幼幼, 1990- author","My tenantless body","","978-0-9575511-3-8","","","","","2019","2025-04-21 01:39:26","2025-04-21 01:39:26","","","","","","","","","","","","","Poetry Translation Centre","London","eng","","","","","Open WorldCat","","OCLC: 1253586441","","","","","","","","Blakemore, A. K.; Haysom, Dave","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S86TQ3N9","book","2022","","The way spring arrives and other stories","","978-1-250-76891-9","","","","""From an award-winning team of authors, editors, and translators comes a groundbreaking short story collection that explores the expanse of Chinese science fiction and fantasy. In The Way Spring Arrives and Other Stories, you can dine at a restaurant at the end of the universe, cultivate to immortality in the high mountains, watch roses perform Shakespeare, or arrive at the island of the gods on the backs of giant fish to ensure that the world can bloom. Written, edited, and translated by a female and nonbinary team, these stories have never before been published in English and represent both the richly complicated past and the vivid future of Chinese science fiction and fantasy. Time travel to a winter's day on the West Lake, explore the very boundaries of death itself, and meet old gods and new heroes in this stunning new collection""-- Provided by publisher","2022","2025-04-21 01:39:28","2025-04-21 01:39:28","","","","","","","","","","","","","Tom Doherty Associates","New York, NY","eng","","","","","Open WorldCat","","OCLC: 1289616706","","","","","","Yu, Chen; Wang, Regina Kanyu","","","","","","","","","","","","","","","","","","","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PB9ITQD3","book","2007","Wharton, Edith; Robinson, Roxana","The New York stories of Edith Wharton","","978-1-59017-248-3","","","","","2007","2025-04-21 01:39:39","2025-04-21 01:39:39","","","","","","","","","New York review books classics","","","","New York review of books","New York","eng","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H6BM2AYG","book","2021","Yan, Ge","Strange beasts of China","","978-1-61219-909-2 978-1-61219-970-2","","","","""From one of the most exciting voices in contemporary Chinese literature, an uncanny and playful bestiary that blurs the line between human and beast ... In the fictional Chinese city of Yong'an, an amateur cryptozoologist is commissioned to uncover the stories of its fabled beasts. These creatures live alongside humans in near-inconspicuousness-save their greenish skin, serrated earlobes, and strange birthmarks. Aided by her elusive former professor and his enigmatic assistant, our narrator sets off to document each beast, and is slowly drawn deeper into a mystery that threatens her very sense of self. Part detective story, part metaphysical inquiry, Strange Beasts of China engages existential questions of identity, humanity, love, and morality with whimsy and stylistic verve. First published in the UK by Tilted Axis""--","2021","2025-04-21 01:39:50","2025-04-21 01:39:50","","","232","","","","","","","","","","Melville House","Brooklyn","eng","","","","","K10plus ISBN","","","","","","","","","","Tiang, Jeremy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCLAZADT","book","2023","ZHU, SUSIE","AMPHITHEATER","","978-1-63988-798-9","","","","","2023","2025-04-21 01:40:02","2025-04-21 01:40:02","","","","","","","","","","","","","ATMOSPHERE PRESS","S.l.","eng","","","","","Open WorldCat","","OCLC: 1375541778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZE9CYPE3","book","2022","Wang, Yin","A summer day in the company of ghosts","","978-1-68137-648-6","","","","""'My poems are flecks of salt clinging ambivalently to a horse's back,' Wang Yin writes. Selected Poems, translated by Andrea Lingenfelter, is the first comprehensive collection of this important Chinese poet's work to appear in English. Readers can follow the full arc of the poet's career, from the early, surrealist and Deep Image-influenced work of the 1980s, when he made his debut as a post-Misty poet, through the turn toward the rawer, more immediate poetry of the nineties, and on to the existential and ineffable weavings of his more recent work. Wang Yin's sensibility is both cosmopolitan and lyrical, and his poetry has a subtlety and beauty that contrasts with the often physically painful imagery with which he depicts psychological reality, a reality expressed as various states of mind struggling against the suppression of memory. Shanghai winters, a winter in Katowice, a summer day with ghosts, blue shadows, petals in the darkness, an 'empty lane lit up by moonlight'--the poems of this extraordinary volume illuminate the inner life as a singular encounter between physical and spiritual realms""--","2022","2025-04-21 01:40:13","2025-04-21 01:40:13","","","1","","","","","","New York Review Books poets","","","","New York Review Books","New York","eng chi","","","","","K10plus ISBN","","","","","","","","","","Lingenfelter, Andrea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7IE2W3DY","book","2018","Zhang, Er","First mountain","","978-1-938890-93-2","","","","","2018","2025-04-21 01:40:24","2025-04-21 01:40:24","","","224","","","","","","","","","","Zephyr Press","Brookline, Mass","eng","","","","","K10plus ISBN","","","","","","","","","","Donahue, Joseph","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HXF7QHJR","book","2020","Yan, Xiao","Café after dawn: poems","","978-1-951627-05-8","","","","","2020","2025-04-21 01:40:36","2025-04-21 01:40:36","","","","","","","","Café after dawn","","","","","Arcade","New York, NY","eng","","","","","Open WorldCat","","OCLC: 1198446074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EAHW3H33","book","2023","Matsumoto, Taiyō","Tokyo these days. 1","","978-4-09-861117-1","","","","","2023","2025-04-21 01:40:49","2025-04-21 01:40:49","","","","","","","","","","","","","Viz Media","San Francisco, CA","eng","","","","","Open WorldCat","","OCLC: 1417157444","","","","","","","","","","","","","","","","","","","","","","","","","Viz signature edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XSXMKS3M","book","2015","連城, 三紀彦","宵待草夜情","","978-4-7584-3905-3","","","","","2015","2025-04-21 01:40:51","2025-04-21 01:40:51","","","","","","","","","","","","","角川春樹事務所","","jpn","","","","","Open WorldCat","","OCLC: 910099142","","","","","","","","","","","","","","","","","","","","","","","","","新装版","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKK8IE3S","book","2022","錯別字 (賴正鎧).; 賴正鎧, author","靈異錯別字: 夜訪百鬼","","978-626-335-566-8","","","","","2022","2025-04-21 01:40:52","2025-04-21 01:40:52","","","","","","","","靈異錯別字","","","","","時報文化出版企業股份有限公司","Taibei Shi","chi","","","","","Open WorldCat","","OCLC: 1366106898","","","","","","","","","","","","","","","","","","","","","","","","","Chu ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MJQUU2ZT","book","2023","洪万达.; 洪万达, 1997- author","一袋米要扛几楼","","978-626-353-894-8","","","","","2023","2025-04-21 01:40:53","2025-04-21 01:40:53","","","","","","","","","","","","","时报文化出版企业股份有限公司","Taibei Shi","chi","","","","","Open WorldCat","","OCLC: 1467164161","","","","","","","","","","","","","","","","","","","","","","","","","Chu ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NYJ7BJUF","book","2022","王崢作; 王崢, 文字作者","山地搖滾 = Mountain rock","","978-626-7113-55-4","","","","","2022","2025-04-21 01:40:55","2025-04-21 01:40:55","","","","","","","","","","","","","城邦印書館股份有限公司","Tai bei shi","chi","","","","","Open WorldCat","","OCLC: 1406994250","","","","","","","","","王崢, 文字作者","","","","","","","","","","","","","","","","Chu ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GF83D2LS","book","2022","安德森; 俞智敏","我在洪水中失去的一切: 關於圖像、語言及符碼","","978-626-7206-43-0","","","","","2022","2025-04-21 01:41:07","2025-04-21 01:41:07","","","","","","","","我在洪水中失去的一切","","","","","大塊文化出版股份有限公司","臺北市","chi","","","","","Open WorldCat","","OCLC: 1415226106","","","","","","","","","","","","","","","","","","","","","","","","","初版","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M5MP242A","book","2009","Luan, Baoqun","Zhong guo shen guai da ci dian","","978-7-01-008383-4","","","","","2009","2025-04-21 01:41:18","2025-04-21 01:41:18","","","67","","","","","","","","","","Ren min chu ban she","Bei jing","chi","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q46FWJW2","book","2008","Cao, Xueqin; Gao, E.; Hongloumeng-Yanjiusuo","Hong lou meng","","978-7-02-000220-7","","","","","2008","2025-04-21 01:41:29","2025-04-21 01:41:29","","","2","","","","","","Zhongguo gu dian wen xue du ben cong shu","","","","Ren min wen xue chu ban she","Bei jing","chi","","","","","K10plus ISBN","","","","","","","","","","","Hongloumeng-Yanjiusuo","","","","","","","","","","","","","","","","Bei jing di 3 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TLLUFPZ5","book","2005","(清)洪昇著.; 洪н.; 洪昇.","长生殿: 插图版","","978-7-02-005183-0","","","","本书和<桃花扇>是清初剧坛的双璧,书中写的是唐代的安禄山之乱,借用唐代以来脍炙人口的唐明皇,杨贵妃的故事,将前部写成历史剧的规模.以唐明皇与杨贵妃发爱情故事为本书的中心","2005","2025-04-21 01:41:31","2025-04-21 01:41:31","","","","","","","","长生殿","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 885971929","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS9IB4TQ","book","2015","(法)帕特里克·莫迪亚诺(Patrick Modiano)著 ; 李玉民译.; Modiano, Patrick","星形广场 = La place de l'etoile","","978-7-02-010743-8","","","","","2015","2025-04-21 01:41:32","2025-04-21 01:41:32","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 946063998","","","","","","","","李玉民","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WTNLLJMG","book","2017","(英) 凯瑟琳·曼斯菲尔德著 ; 萧乾, 文浩若, 萧荔译.; Mansfield, Katherine; 萧乾.; 文浩若.; 萧荔.","蜜月 = Honeymoon","","978-7-02-011661-4","","","","","2017","2025-04-21 01:41:34","2025-04-21 01:41:34","","","","","","","","","","","","","人民文学出版社","Bei jing","chi","","","","","Open WorldCat","","OCLC: 1099520905","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7TZIXAYW","book","2016","Zhang, Yue ran","Jian","","978-7-02-011802-1","","","","","2016","2025-04-21 01:41:44","2025-04-21 01:41:44","","","","","","","","","","","","","Ren min wen xue chu ban she","Bei jing","chi","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AY72NNP4","book","2017","(冰)埃纳尔·茂尔·古德蒙德松著 ; 张欣彧译.; 古德蒙德松 Gudmundsson, Einar Mar, 1954-; 张欣彧","酷暑天 = Hundadagar","","978-7-02-012231-8","","","","Ben shu jiang shu le shi jiu shi ji dang le liang ge yue bing dao guo wang de yi wei dan mai ren de zhen shi gu shi,Lai zi bu tong nian dai,Bu tong guo jia de zhong duo li shi ren wu lun fan deng chang,Kua yue shi kong zai shu zhong ji hui ju shou","2017","2025-04-21 01:41:56","2025-04-21 01:41:56","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1044517749","","","","","","","","","张欣彧","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L3XS69W7","book","2014","(法)克里斯托夫·奥诺-迪-比奥(Christophe Ono-Dit-Biot)著 ; 余中先译.; (法) 奥诺-迪-比奥 (1975-); 余中先.","潜","","978-7-02-012900-3","","","","《潜》写了一个优美动人的爱情故事,它发生在一个叫帕兹的西班牙女人和一个叫塞萨的法国男人之间,爱把他们结合到一起,后又把他们分开。读者可以跟随这对恋人潜入他们到过的地方,经历过的氛围,浸淫过的气味,潜入他们所喜爱的文学、艺术、历史、神话,潜入到""文化""的深层。它是一个关于自然美与艺术美,关于伟大的艺术品在人类心底激发起的美好情感的故事；它也是一个关于欧洲历史,关于这一即将衰败的古老文明的故事；它更是一个充满了阳光和海水的故事,一个关于海洋的故事,这海洋充满了远比陆地上更为多姿多彩、更为神秘奥妙的生命种类,它让我们不禁要问,海洋中有没有存在另一种高等文明的可能性","2014","2025-04-21 01:42:08","2025-04-21 01:42:08","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1455849319","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6Q86IHJ","book","2020","(加拿大)阿利斯泰尔·麦克劳德 著 ; 陈以侃 译 = The lost salt gift of blood / Alistair Macleod; Macleod, Alistair; 陈以侃","海风中失落的血色馈赠","","978-7-02-012962-1","","","","","2020","2025-04-21 01:42:09","2025-04-21 01:42:09","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1156988741","","","","","","","","","陈以侃","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KPIJ2EMA","book","2019","(美)玛丽莲·罗宾逊著;李尧译.; 罗宾逊 女,Robinson, Marilynne 1943-.; 李尧","基列家书 = Gilead","","978-7-02-013500-4","","","","本书是基列三部曲的第一本.整本小说其实是年事已高的牧师约翰·埃姆斯给自己的幼子写的家书,亦是一部浓缩的美国近代史.在爱荷华州一个叫""基列""的小镇,鳏居多年的牧师埃姆斯在礼拜日的教堂里邂逅了现在的妻子莱拉,并在不可能生育的年纪拥有了一个儿子.在即将离开这个世界之前,为了向幼子解释他从哪里来,又将生活在怎样的世界,埃姆斯借托这封书信回顾了自己的家族历史:他身为牧师的祖父如何狂热地参与美国南方如火如荼的废奴运动,让家庭陷入分裂和绝望,并与持和平立场的儿子至死无法和解;而埃姆斯自己又如何在漫长的孤独岁月里,调和自身的悲剧和对上帝的信仰的冲突","2019","2025-04-21 01:42:10","2025-04-21 01:42:10","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1200650098","","","","","","","","","李尧","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQ9RZTAF","book","2018","(美)史蒂文斯著 ; 王佐良译.; (美) 史蒂文斯.; 王佐良.","注视一只黑鸟的十三种方式 史蒂文斯诗选","","978-7-02-013570-7","","","","本书收录了史蒂文斯的诗歌,包括《土里土气的逸闻》《针对巨人的计谋》《雪人》《我叔叔的单片眼镜》《威廉斯的一个主题的细微差别》等作品","2018","2025-04-21 01:42:12","2025-04-21 01:42:12","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1266106081","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FIF574PZ","book","2010","(美)玛丽莲·罗宾逊著;应雁译.; 罗宾逊 女,Robinson, Marilynne 1943-.; 应雁","家园 = Home","","978-7-02-013652-0","","","","本书是基列三部曲的第二部,以埃姆斯的老朋友鲍顿一家为线索,再现了老牧师鲍顿及其一双儿女各自孤独又相互慰藉的亲情故事.三十八岁的格罗瑞因一场失败的婚约回到故乡基列,一面照看年迈的父亲,一面料理日渐衰败的家园.不久,二十年鲜有音信的哥哥杰克也出人意料地回家,杰克曾因其顽劣放荡的行为让整个家庭蒙上丑闻的阴影,但老鲍顿在二十年里从未放弃对浪子的等待和宽恕.三个人在同一间屋檐下,享受迟来的亲情,但充满悲伤和悔恨的往事却日渐吞噬他们.杰克无法摆脱灵魂的疲惫,告别不堪承受的家园,留下格罗瑞独自守候.直到有一天,杰克一直等待的那个人,踏上了基列的土地","2010","2025-04-21 01:42:13","2025-04-21 01:42:13","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1178957050","","","","","","","","","应雁","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RDTXQSN","book","2009","(爱尔兰)约翰·康诺利(John Connolly)著;安之译; 康诺利 Connolly, John 1968-.; 安之","失物之书 = The book of lost things","","978-7-02-014186-9","","","","","2009","2025-04-21 01:42:25","2025-04-21 01:42:25","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1222975876","","","","","","","","","安之","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"448FXZM5","book","2021","(美)乔伊斯·卡罗尔·欧茨(Joyce Carol Oates)著;樊维娜译; 奥茨 Oates, Joyce Carol 1938-.; 樊维娜","狂野之夜: 关于爱伦·坡,狄金森,马克·吐温,詹姆斯和海明威最后时日的故事 = Wild nights!","","978-7-02-014353-5","","","","","2021","2025-04-21 01:42:27","2025-04-21 01:42:27","","","","","","","","狂野之夜","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1388284064","","","","","","","","","樊维娜","","","","","","","","","","","","","","","","Di 2 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZV7PY5IA","book","2019","John Ashbery[著];马永波译.; 阿什贝利 Ashbery, John 1927-2017; 马永波","阿什贝利自选诗集: 汉英对照","","978-7-02-014477-8","","","","这本诗集是约翰·阿什贝利的自选集.约翰·阿什贝利早年即在诗歌,绘画,音乐等方面彰显天赋.他的作品具有鲜明的后现代诗学风格,强调中心意义的消解以及对传统技法的创新,重视诗歌创作的实验性,在荒诞的表象下形成了内在的和谐与契合,呈现出独特的诗学美感","2019","2025-04-21 01:42:28","2025-04-21 01:42:28","","","","","","","","阿什贝利自选诗集","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1178817759","","","","","","","","","马永波","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZ8F97QS","book","2019","(美)玛丽莲·罗宾逊著 ; 李尧译.; (美) 罗宾逊; 李尧.","莱拉 Lila","","978-7-02-014500-3","","","","","2019","2025-04-21 01:42:40","2025-04-21 01:42:40","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1266162607","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9E5C7Z3","book","2018","(爱尔兰)谢默斯·希尼(Seamus Heaney)著;罗池译.; 希尼 Heaney, Seamus 1939-2013; 罗池","消失的岛屿: 希尼自选诗集 / 1966-1987","","978-7-02-014550-8","","","","本书收录了希尼的<一个博物学家的死亡><通向黑暗的门><越冬><北方>,还包括杰作<田间劳作>和<苦路岛>,收尾篇目选自获得英国惠特布莱德文学奖的诗集<山楂灯笼>","2018","2025-04-21 01:42:41","2025-04-21 01:42:41","","","","","","","","消失的岛屿","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1112255600","","","","","","","","","罗池","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TLVUN8CV","book","2018","(爱尔兰)谢默斯·希尼(Seamus Heaney)著;范静哗,罗池译.; 希尼 Heaney, Seamus 1939-2013; 范静哗; 罗池","消失的岛屿: 希尼自选诗集 / 1988-2013","","978-7-02-014551-5","","","","本书汇编了诗人所选的后期诗歌,包括突破性的诗集<灵视><水平仪>和<贝奥武甫>,也涵盖颇受赞誉的诗集<电灯光><区线与环线>和<人之链>,也收录了希尼创作的最后一首诗<时间的节拍>","2018","2025-04-21 01:42:43","2025-04-21 01:42:43","","","","","","","","消失的岛屿","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1112271252","","","","","","","","","范静哗; 罗池","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MMUF566E","book","1996","(俄罗斯)车尔尼雪夫斯基著;蒋路译.; 车尔尼雪夫斯基.; 蒋路","怎么办","","978-7-02-015068-7","","","","","1996","2025-04-21 01:42:44","2025-04-21 01:42:44","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1178840334","","","","","","","","","蒋路","","","","","","","","","","","","","","","","Di 3 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSTJGM6D","book","2020","(日)伊藤高见著 ; 伏怡琳译.; (日) 伊藤高见.; 伏怡琳.","扔在八月的路上","","978-7-02-015217-9","","","","八月的最后一天,水城即将结束作为货车司机的职业生涯,调往别处。而敦,作为这条线路上水城的伙伴,也将与妻子离婚,结束多年的婚姻生活。也许总有一天,在这个熟悉的世界上,会孤零零地只剩下自己。这种感觉和出于爱恋的思念不同,但又不是与日俱增的恨,其中既有爱的片断,也有恨的残片","2020","2025-04-21 01:42:56","2025-04-21 01:42:56","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1452621725","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBWC4JLU","book","2021","(葡)佩索阿著 ; 张维民译.; (葡) 佩索阿, (Pessoa, Fernando, 1888-1935); 张维民.","我喝醉全世界的不公 佩索阿诗100首","","978-7-02-015629-0","","","","我醉了,喝醉了全世界的不公......--上帝的洪水,金发的小婴儿,死了飘浮在水面,我,在他的心中,痛苦是别人的愤怒,存在一种郁闷的爱的浩荡的屈辱--我,抒情诗人,造句子,因为不能造运气,我,我救赎的欲望的幽灵,凄冷的雾--我不知道是否该作诗,写文字,因为灵魂--无数的别人的灵魂总是在我外边受苦。葡萄牙诗人费尔南多·佩索阿(FernandoPessoa)被誉为""欧洲现代主义的核心人物"",在现代文学史上拥有崇高的地位,也是现代诗歌史上一位奇迹般的诗人,对他的诗歌和散文作品的翻译在中国延续了三十多年,读者的阅读热情也一直不减。这本诗集的译者张维民长期生活在葡萄牙,方便收集多个版本和其他参考资料,并从葡萄牙语直接翻译,尽可能保持了原作的风格,是一本不可多得的佩索阿诗歌普及读本。《我喝醉全世界的不公：佩索阿诗100首》精选了佩索阿100首的诗,收入""巴别塔100""外国经典诗丛","2021","2025-04-21 01:43:09","2025-04-21 01:43:09","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1453884089","","","","","","","","","","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZR9V5MR","book","2020","(俄)列夫·尼古拉耶维奇·托尔斯泰著;草婴译.; 托尔斯泰.; 草婴","战争与和平","","978-7-02-015799-0","","","","<战争与和平>以1812年的卫国战争为中心,反映从1805到1820年间的重大历史事件.以鲍尔康斯,别祖霍夫,罗斯托夫和库拉金四大贵族的经历为主线,在战争与和平的交替描写中把众多的事件和人物串联起来,构成一部百科全书式的壮阔史诗","2020","2025-04-21 01:43:21","2025-04-21 01:43:21","","","","","","","","","","","","","人民文学出版社","Beijing","chi","","","","","Open WorldCat","","OCLC: 1243221251","","","","","","","","","草婴","","","","","","","","","","","","","","","","Di 1 ban","","","","","","","","","","","","","","","","","","","","","","","","","",""
